"pew_religimp","pew_churatd","sex","educ","nonwhite","age","faminc_new","pid3","ideo5","QueerPhobia","ImmiPhobia","InterGBiasParty","InterGBiasCand","InterGBiasSup","LibMediaUse","ConMediaUse","Real_Threat","Symb_Threat","Evaluation","teamweight","caseid"
4,5,"2",5,"1",40,10,"1",1,1,1,-98,-98,-98,3.66666666666667,1.66666666666667,5,5,"0",0.737816280310873,1236090743
3,5,"1",3,"1",45,4,"1",3,3.66666666666667,2.5,3,-5,-1,2.66666666666667,2.66666666666667,1.25,1.85714285714286,"1",0.684665922831909,1236236315
1,1,"2",6,"1",38,6,"2",5,4,2.5,94,99,98,3,5.66666666666667,5,4.42857142857143,"2",1.19388376330148,1236246497
4,6,"2",2,"1",40,8,"1",3,1,1,-40,-50,-51,2.33333333333333,1.33333333333333,5,4,"0",0.60825630448923,1236314313
4,6,"1",6,"1",82,9,"3",3,3.33333333333333,3,33,99,95,2.66666666666667,2.66666666666667,1,2,"2",0.724355012800656,1236490675
1,6,"1",2,"1",73,5,"2",3,3,3,100,99,100,1,4,5,5,"2",1.32018936090903,1236522839
4,6,"2",5,"1",87,2,"1",2,2,2,-98,-92,-94,3.66666666666667,1.33333333333333,4,4,"0",0.731259195749353,1236584883
4,5,"1",3,"1",41,4,"3",3,1.33333333333333,2.5,-29,-50,-48,3.33333333333333,2.66666666666667,3.5,3.85714285714286,"0",1.2427188014491,1236630905
2,6,"1",3,"2",36,4,"1",1,1.66666666666667,4,-67,-82,-77,5.66666666666667,5.66666666666667,4,4,"0",0.689541483576094,1236655637
1,1,"1",6,"1",36,16,"1",3,2.33333333333333,4.5,-14,-12,35,5.33333333333333,5.66666666666667,4.5,4.57142857142857,"3",0.933242864183629,1236664183
2,5,"2",2,"1",57,97,"2",4,3,3.5,99,97,97,1.33333333333333,3.33333333333333,4.25,5,"2",0.704586122094288,1236670029
2,5,"2",2,"1",57,97,"2",4,3,3.5,99,97,97,1.33333333333333,3.33333333333333,4.25,5,"2",0.704586122094288,1236670029
4,6,"1",2,"1",59,5,"2",5,3,3,62,92,96,2,4.66666666666667,5,4.57142857142857,"2",1.40623566948165,1236673165
